dataset,statistic_type,statistic_config,build_window_size_sec,bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,latency_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,statisticStoreType,issue
Nexmark,CountMin,"(10, 100, uint64)",1,508892723.80201715,Nexmark_CountMinBuild_10_100_uint64_1sec,13.123619894,14019891.042723611,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",1,494958693.2205615,Nexmark_CountMinBuild_10_100_uint64_1sec,13.493074807,13636011.334091762,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",1,511575405.24045885,Nexmark_CountMinBuild_10_100_uint64_1sec,13.054800144,14093798.370751986,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",1,1810945382.1200845,Nexmark_CountMinBuild_10_100_uint64_1sec,3.687860904,49891176.96940123,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",1,1801508396.469608,Nexmark_CountMinBuild_10_100_uint64_1sec,3.707179321,49631189.934013985,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",1,1791071665.7735894,Nexmark_CountMinBuild_10_100_uint64_1sec,3.728781378,49343660.12594906,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",1,6170352715.424812,Nexmark_CountMinBuild_10_100_uint64_1sec,1.082355415,169991962.39065334,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",1,6192263722.307198,Nexmark_CountMinBuild_10_100_uint64_1sec,1.078525556,170595606.17402747,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",1,6306764788.574284,Nexmark_CountMinBuild_10_100_uint64_1sec,1.058944625,173750087.26258937,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,60,3627189520.8383627,Nexmark_ReservoirBuild_100_60sec,1.841236758,99928333.60542762,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,60,3585971611.9389257,Nexmark_ReservoirBuild_100_60sec,1.862400319,98792788.59809946,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,60,3760216933.585958,Nexmark_ReservoirBuild_100_60sec,1.776098239,103593211.77166034,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,60,13389861610.024458,Nexmark_ReservoirBuild_100_60sec,0.498773988,368887964.1413858,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,60,13329253210.356106,Nexmark_ReservoirBuild_100_60sec,0.501041924,367218215.0569899,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,60,12947669686.011625,Nexmark_ReservoirBuild_100_60sec,0.515808237,356705666.5673216,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,Reservoir,100,60,20314166322.027206,Nexmark_ReservoirBuild_100_60sec,0.328761445,559651150.6998639,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
