dataset,statistic_type,statistic_config,query_name,num_statistic_ids,build_window_size_sec,build_windows_per_probe_window,num_probe_tuples,num_probe_repetitions,probe_throughput_listener,probe_duration_s,build_throughput_listener,build_duration_s,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,issue
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.017807483673096,331197.23,212.03780555725098,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.01730442047119,347210.5789473684,206.03964686393738,COMPILER,4,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,1947387.5,43.604690074920654,338431.78,214.05400943756104,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,2396500.0,18.271834135055542,344310.9270833333,212.29303407669067,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,2846000.0,43.35369896888733,339513.3147208122,212.30907106399536,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.022867441177368,337058.1237113402,210.04908275604248,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.021397829055786,342630.0837696335,237.37448501586914,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.01907229423523,338456.62626262626,214.0550103187561,COMPILER,4,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,2397000.0,18.01754140853882,550579.5769230769,245.36692333221436,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,1797397.5,18.02009344100952,558566.8227848101,220.03586411476135,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,1722692.5,43.3500018119812,524045.7619047619,286.6923499107361,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.02194881439209,515710.9761904762,246.03686833381653,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.27537775039673,589490.4457831326,220.29128527641296,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.271333932876587,533351.0,274.95482635498047,COMPILER,16,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,2247000.0,18.023319005966187,551315.6395348837,234.06165432929993,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,1198000.0,43.35015416145325,532641.6091954022,255.38868808746338,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1,10,100000,1648000.0,18.019113540649414,528568.9367088608,261.6388154029846,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,66.93050646781921,525093.8333333334,228.04653143882751,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,16.01931619644165,546626.2023809524,244.07370400428772,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,Reservoir,1000,ReservoirBuild_1000,1,1,1000,10,100000,-1,0.0,1666000.0,2.0176825523376465,COMPILER,16,20000,HASH_JOIN,1048576,8192,True,build:crashed:11
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,224694.77272727274,22.014906883239746,188593.13390928725,182.03203654289246,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,224694.77272727274,22.270224809646606,188046.94168466522,184.0395004749298,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,217885.9090909091,47.59340691566467,191670.4298245614,174.29394555091858,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.267125606536865,183039.6716101695,190.29292106628418,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.01679754257202,187138.70235546038,176.03486108779907,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.27013373374939,190844.51096491228,182.04247999191284,COMPILER,1,20000,HASH_JOIN,1048576,8192,False,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,224694.77272727274,22.27289390563965,191024.2603938731,230.70431995391846,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,214925.4347826087,22.268263816833496,189022.5956521739,188.03969287872314,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1,10,100000,214925.4347826087,22.01641082763672,186420.2205567452,188.05150961875916,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,ok
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.269349098205566,187108.22795698926,209.38047623634338,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
ClusterMonitoring,EquiWidthHistogram,"(100, 0, 100000, 'uint64')",EquiWidthHistogramBuild_100_0_100000_uint64,1,1,1000,10,100000,-1,16.01448702812195,190881.97802197802,184.05328559875488,COMPILER,1,20000,HASH_JOIN,1048576,8192,True,probe:no_measurements
